cement,Flyash ,Slag ,Water ,Superplasticizer ,Coarseagg,Fineagg,CuringDays,Porosity,Strength,Total_cost
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,3,7.85,38.29,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,3,9.61,30.52,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,3,7.21,26.89,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,3,7.04,23.56,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,3,7.87,20.06,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,3,8.56,14.92,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,3,13.02,12.42,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,3,12.55,11.75,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,3,13.14,10.97,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,3,13.48,6.68,7419.302079
591,0,0,206.85,4.099999854,1007.713966,590.3360337,7,6.4,54.65,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,7,6.12,50.53,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,7,6.39,47.62,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,7,6.84,46.25,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,7,6.73,35.24,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,7,6.34,34.12,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,7,7.09,32.03,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,7,7.61,26.01,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,7,9.76,18.23,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,7,10.35,19.94,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,7,9.55,17.54,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,7,12.18,14.84,7419.302079
591,0,0,206.85,4.099999854,1007.713966,590.3360337,28,4.45,58.17,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,28,4.4,60.74,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,28,4.55,55.32,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,28,4.27,59.77,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,28,5.3,41.03,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,28,5.86,43.24,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,28,5.97,47.94,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,28,6.09,43.6,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,28,9.05,24.59,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,28,10.03,24.49,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,28,7.47,25.61,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,28,6.55,26.09,7419.302079
591,0,0,206.85,4.099999854,1007.713966,590.3360337,56,2.55,61.62,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,56,2.72,66.7,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,56,2.4,65.01,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,56,2.7,63.76,10791.57941
414,0,0,207,0.400000176,1023.404967,755.1950326,56,4.93,45.84,7673.43032
371.9999999,0,41.0000001,206.5,0.399999999,1026.088448,754.0115521,56,5.47,47.27,7916.798196
330.9999999,0,83.00000009,207,0.400000176,1027.049139,751.5508604,56,5.18,49.05,8190.702713
248.0000002,0,164.9999998,206.5,0.399999999,1031.588624,748.5113758,56,6.12,48.48,8689.631656
296,0,0,207.2,0,1032.207159,864.592841,56,7.66,25.31,6698.28525
265.9999999,0,29.00000008,206.5,0,1033.132271,865.3677292,56,8.67,28.09,6864.096999
237.0000001,0,58.9999999,207.2,0,1033.941961,862.8580392,56,7.13,28.25,7065.357437
177,0,118,206.5,0,1037.775562,860.7244382,56,5.72,31.2,7419.302079
380,190,0,155.0000001,6.00000012,934.0356762,734.9643236,28,15.2,2.01,9901.62617
591,0,0,206.85,4.099999854,1007.713966,590.3360337,1,7.18,46.56,9319.6569
532.0000002,0,58.99999985,206.85,4.099999854,1010.99002,587.0599805,1,8.56,39.66,9687.859338
472.9999997,0,118.0000003,206.85,4.099999854,1014.287443,583.7625571,1,9.62,38.29,10056.07745
355,0,236,206.85,4.099999854,1019.608295,578.4417051,1,11.16,30.52,10791.57941
